Id,Book,Section_Id,File_Name,URL,Section_Roman,Book,,
83,Book 1: Adi Parva,Book01_83,mahabharata_01084.txt,https://www.mahabharataonline.com/translation/mahabharata_01084.php,Section LXXXIII,Book,1,Book01
84,Book 1: Adi Parva,Book01_84,mahabharata_01085.txt,https://www.mahabharataonline.com/translation/mahabharata_01085.php,Section LXXXIV,Book,1,Book01
85,Book 1: Adi Parva,Book01_85,mahabharata_01086.txt,https://www.mahabharataonline.com/translation/mahabharata_01086.php,Section LXXXV,Book,1,Book01
86,Book 1: Adi Parva,Book01_86,mahabharata_01087.txt,https://www.mahabharataonline.com/translation/mahabharata_01087.php,Section LXXXVI,Book,1,Book01
87,Book 1: Adi Parva,Book01_87,mahabharata_01088.txt,https://www.mahabharataonline.com/translation/mahabharata_01088.php,Section LXXXVII,Book,1,Book01
88,Book 1: Adi Parva,Book01_88,mahabharata_01089.txt,https://www.mahabharataonline.com/translation/mahabharata_01089.php,Section LXXXVIII,Book,1,Book01
89,Book 1: Adi Parva,Book01_89,mahabharata_01090.txt,https://www.mahabharataonline.com/translation/mahabharata_01090.php,Section LXXXIX,Book,1,Book01
90,Book 1: Adi Parva,Book01_90,mahabharata_01091.txt,https://www.mahabharataonline.com/translation/mahabharata_01091.php,Section XC,Book,1,Book01
91,Book 1: Adi Parva,Book01_91,mahabharata_01092.txt,https://www.mahabharataonline.com/translation/mahabharata_01092.php,Section XCI,Book,1,Book01
92,Book 1: Adi Parva,Book01_92,mahabharata_01093.txt,https://www.mahabharataonline.com/translation/mahabharata_01093.php,Section XCII,Book,1,Book01
93,Book 1: Adi Parva,Book01_93,mahabharata_01094.txt,https://www.mahabharataonline.com/translation/mahabharata_01094.php,Section XCIII,Book,1,Book01
94,Book 1: Adi Parva,Book01_94,mahabharata_01095.txt,https://www.mahabharataonline.com/translation/mahabharata_01095.php,Section XCIV,Book,1,Book01
95,Book 1: Adi Parva,Book01_95,mahabharata_01096.txt,https://www.mahabharataonline.com/translation/mahabharata_01096.php,Section XCV,Book,1,Book01
96,Book 1: Adi Parva,Book01_96,mahabharata_01097.txt,https://www.mahabharataonline.com/translation/mahabharata_01097.php,Section XCVI,Book,1,Book01
97,Book 1: Adi Parva,Book01_97,mahabharata_01098.txt,https://www.mahabharataonline.com/translation/mahabharata_01098.php,Section XCVII,Book,1,Book01
98,Book 1: Adi Parva,Book01_98,mahabharata_01099.txt,https://www.mahabharataonline.com/translation/mahabharata_01099.php,Section XCVIII,Book,1,Book01
99,Book 1: Adi Parva,Book01_99,mahabharata_01100.txt,https://www.mahabharataonline.com/translation/mahabharata_01100.php,Section XCIX,Book,1,Book01
100,Book 1: Adi Parva,Book01_00,mahabharata_01101.txt,https://www.mahabharataonline.com/translation/mahabharata_01101.php,Section C,Book,1,Book01
101,Book 1: Adi Parva,Book01_01,mahabharata_01102.txt,https://www.mahabharataonline.com/translation/mahabharata_01102.php,Section CI,Book,1,Book01
102,Book 1: Adi Parva,Book01_02,mahabharata_01103.txt,https://www.mahabharataonline.com/translation/mahabharata_01103.php,Section CII,Book,1,Book01
103,Book 1: Adi Parva,Book01_03,mahabharata_01104.txt,https://www.mahabharataonline.com/translation/mahabharata_01104.php,Section CIII,Book,1,Book01
104,Book 1: Adi Parva,Book01_04,mahabharata_01105.txt,https://www.mahabharataonline.com/translation/mahabharata_01105.php,Section CIV,Book,1,Book01
105,Book 1: Adi Parva,Book01_05,mahabharata_01106.txt,https://www.mahabharataonline.com/translation/mahabharata_01106.php,Section CV,Book,1,Book01
106,Book 1: Adi Parva,Book01_06,mahabharata_01107.txt,https://www.mahabharataonline.com/translation/mahabharata_01107.php,Section CVI,Book,1,Book01
107,Book 1: Adi Parva,Book01_07,mahabharata_01108.txt,https://www.mahabharataonline.com/translation/mahabharata_01108.php,Section CVII,Book,1,Book01
