,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
93,19.048703622817992,1.154779539002441,0.21305723190307618,0.016836072939563414,10,1,10,800,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 800}",0.9482288828337875,0.924791086350975,0.9401709401709402,0.9046321525885559,0.9150684931506851,0.9265783110189887,0.01594246390241719,45,0.9986130374479889,0.9986130374479889,0.9993060374739764,0.9993060374739764,1.0,0.9991676299687862,0.0005189024710092265
94,29.38281078338623,1.7347926833663065,0.2985833644866943,0.06249541525742399,10,1,10,1200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1200}",0.9482288828337875,0.9303621169916434,0.9401709401709402,0.9046321525885559,0.912568306010929,0.9271924797191712,0.016394219158148603,30,0.9986130374479889,0.9993060374739764,0.9986130374479889,0.9993060374739764,1.0,0.9991676299687862,0.0005189024710092265
95,2.4794548034667967,0.21361496883776934,0.026142978668212892,0.010918698634784669,10,1,15,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 100}",0.9402173913043479,0.9230769230769231,0.9106628242074927,0.8821917808219178,0.9155313351498637,0.9143360509121091,0.01894424464139042,303,0.9958448753462604,0.997920997920998,0.9965397923875432,0.9965397923875432,0.997920997920998,0.9969532911926686,0.0008298747901167868
96,7.7044023990631105,0.03585774898598011,0.08785080909729004,0.004578242055783941,10,1,15,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 300}",0.943089430894309,0.9175824175824175,0.9137931034482758,0.888283378746594,0.9150684931506851,0.9155633647644563,0.017374333086729876,296,0.9972299168975068,0.9986130374479889,0.997920997920998,0.9972299168975068,0.9986130374479889,0.9979213813223978,0.0006185503440968408
97,12.741736602783202,0.3803925350130989,0.1430178165435791,0.005616879504435235,10,1,15,500,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 500}",0.9508196721311476,0.9230769230769231,0.9137931034482758,0.8986301369863013,0.9120879120879122,0.919681549546112,0.017416143876251646,232,0.9972299168975068,0.9993060374739764,0.9972299168975068,0.9986130374479889,0.9993060374739764,0.998336989238191,0.0009386724578580117
98,20.62066035270691,0.31449156385263155,0.22715721130371094,0.005789341745580002,10,1,15,800,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 800}",0.9453551912568307,0.9252077562326869,0.9248554913294798,0.8986301369863013,0.9120879120879122,0.9212272975786421,0.015526256009227411,210,0.997920997920998,0.9986130374479889,0.997920997920998,0.997920997920998,0.9993060374739764,0.9983364137369918,0.0005539678274671233
99,28.682381057739256,3.8909706040463745,0.31107492446899415,0.10069798905411881,10,1,15,1200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 1200}",0.9453551912568307,0.9252077562326869,0.9279538904899136,0.9046321525885559,0.912568306010929,0.9231434593157832,0.01396613726005721,145,0.997920997920998,0.9986130374479889,0.997920997920998,0.997920997920998,0.9993060374739764,0.9983364137369918,0.0005539678274671233
100,1.2349408626556397,0.07498668305738072,0.020983171463012696,0.0035752673162260276,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9427792915531336,0.9116022099447513,0.9261363636363636,0.9085872576177285,0.9110512129380054,0.9200312671379965,0.012941410669226192,228,0.9993050729673384,0.9986130374479889,0.9993060374739764,1.0,0.9993060374739764,0.9993060370726561,0.00043859638708406486
101,3.4697640895843507,0.1425162904264851,0.045004844665527344,0.01337024242132964,10,2,2,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.9539295392953928,0.9307479224376731,0.9464788732394367,0.8931506849315068,0.9209809264305178,0.9290575892669054,0.02135186418663952,11,0.9993060374739764,0.9993060374739764,0.9993060374739764,1.0,1.0,0.9995836224843858,0.0003399708178741454
102,6.038802862167358,0.28135482124081107,0.06980524063110352,0.009106676223888771,10,2,2,500,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.9510869565217391,0.9303621169916434,0.949438202247191,0.9016393442622951,0.9180327868852459,0.9301118813816227,0.018815488125780006,3,0.9993060374739764,0.9993060374739764,0.9993060374739764,1.0,1.0,0.9995836224843858,0.0003399708178741454
