,Text
56,"RT @jayant_aazaad: @ravikishann @byadavbjp प्रश्न:-पेट्रोल और डीजल की कीमतों में वृद्धि कब हुई?
उत्तर  :- 26 मई 2014 को ;उस दिन तक, प्रति…"
57,"RT @jayant_aazaad: @TheDeepak2020In प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी…"
58,"@TheDeepak2020In प्रश्न-:   कश्मीर मुद्दे कब शुरू हुए ?
उत्तर  :-  26 मई 2014 से;
              उसके पहले सभी आतंकवादी शांति के दूत थे। वे घाटी में बच्चों को चॉकलेट बाँटते थे और 
               वहाँ की स्त्रियों को अपनी माँ- बहन मानते थे।

#व्यंग्य  बुरा मानो रे।।"
59,"@ravikishann @byadavbjp प्रश्न:-पेट्रोल और डीजल की कीमतों में वृद्धि कब हुई?
उत्तर  :- 26 मई 2014 को ;उस दिन तक, प्रति लीटर 14 रुपये में पेट्रोल बेचा जाता था।

#व्यंग्य"
60,"RT @456_payal: ________

इस सदी के इंसान को अगर कोई इतना यकीन दिला दे , कि पैसे अब से पेड़ पर लगेंगे...  तो एक छोटे से वक़्त में...  बिना…"
61,"#व्यंग्य!
जब खुद के कुकर्मों पर आग लगती है तो 2 पीस से कम में मां-बाप के सामने भी अंतरंग प्रदर्शन को भी खुद की आजादी मानने वाली अभिनेत्रियाँ सूट सलवार में दिखने लगती हैं! #मायानगरी! #मुम्बई!#ड्रग्स! #दीपिका! #श्रद्धा! #सारा!
#"
62,"RT @456_payal: ________

इस सदी के इंसान को अगर कोई इतना यकीन दिला दे , कि पैसे अब से पेड़ पर लगेंगे...  तो एक छोटे से वक़्त में...  बिना…"
63,"RT @456_payal: ________

इस सदी के इंसान को अगर कोई इतना यकीन दिला दे , कि पैसे अब से पेड़ पर लगेंगे...  तो एक छोटे से वक़्त में...  बिना…"
64,"RT @456_payal: ________

इस सदी के इंसान को अगर कोई इतना यकीन दिला दे , कि पैसे अब से पेड़ पर लगेंगे...  तो एक छोटे से वक़्त में...  बिना…"
65,"बखानू बबा ने आलू को खाते हुए कहा - क्या मीठा आलू है।

बुनैले ने हँसते हुए कहा - मीठा होना ही है, आज ही इसे जड़ से लोकतंत्र की तरह खनकर लाए हैं।

#अफ़वाह: राष्ट्रपति शासन - बखानू बबा की बड़बड़ https://t.co/GTpE5CPV9F #व्यंग्य #हास्य #कटाक्ष"
66,"RT @456_payal: ________

इस सदी के इंसान को अगर कोई इतना यकीन दिला दे , कि पैसे अब से पेड़ पर लगेंगे...  तो एक छोटे से वक़्त में...  बिना…"
67,"RT @456_payal: ________

इस सदी के इंसान को अगर कोई इतना यकीन दिला दे , कि पैसे अब से पेड़ पर लगेंगे...  तो एक छोटे से वक़्त में...  बिना…"
68,"RT @456_payal: ________

इस सदी के इंसान को अगर कोई इतना यकीन दिला दे , कि पैसे अब से पेड़ पर लगेंगे...  तो एक छोटे से वक़्त में...  बिना…"
69,"RT @456_payal: ________

इस सदी के इंसान को अगर कोई इतना यकीन दिला दे , कि पैसे अब से पेड़ पर लगेंगे...  तो एक छोटे से वक़्त में...  बिना…"
70,"RT @ramus8217: यहाँ बारिशें बहुत होती है 
पर यहाँ कोई राही भीगता नहीं 

हाँ इन पलकों के कारण 
कोई आँसूं गिरता नहीं ।।

#राही 
#व्यंग्य"
71,"RT @456_payal: ________

इस सदी के इंसान को अगर कोई इतना यकीन दिला दे , कि पैसे अब से पेड़ पर लगेंगे...  तो एक छोटे से वक़्त में...  बिना…"
72,"RT @456_payal: ________

इस सदी के इंसान को अगर कोई इतना यकीन दिला दे , कि पैसे अब से पेड़ पर लगेंगे...  तो एक छोटे से वक़्त में...  बिना…"
