Season,Team,Position,Metrics,Score
7,Puneri Paltan,1,TOTAL POINTS CONCEDED,663
7,Tamil Thalaivas,2,TOTAL POINTS CONCEDED,659
7,Bengaluru Bulls,3,TOTAL POINTS CONCEDED,644
7,Jaipur Pink Panthers,3,TOTAL POINTS CONCEDED,644
7,Patna Pirates,5,TOTAL POINTS CONCEDED,641
7,Jaipur Pink Panthers,1,DO-OR-DIE RAID POINTS,73
7,U.P. Yoddha,2,DO-OR-DIE RAID POINTS,71
7,Patna Pirates,3,DO-OR-DIE RAID POINTS,69
7,U Mumba,4,DO-OR-DIE RAID POINTS,66
7,Haryana Steelers,5,DO-OR-DIE RAID POINTS,65
7,Bengal Warriors,1,RAID POINTS,398
7,Bengaluru Bulls,2,RAID POINTS,393
7,Dabang Delhi K.C.,3,RAID POINTS,380
7,Patna Pirates,4,RAID POINTS,368
7,Haryana Steelers,5,RAID POINTS,354
7,Dabang Delhi K.C.,1,AVERAGE RAID POINTS,21.11
7,Bengal Warriors,2,AVERAGE RAID POINTS,20.95
7,Bengaluru Bulls,3,AVERAGE RAID POINTS,20.68
7,Haryana Steelers,4,AVERAGE RAID POINTS,19.67
7,Patna Pirates,5,AVERAGE RAID POINTS,19.37
7,Bengal Warriors,1,ALL-OUTS INFLICTED,31
7,Dabang Delhi K.C.,2,ALL-OUTS INFLICTED,29
7,Patna Pirates,3,ALL-OUTS INFLICTED,28
7,Haryana Steelers,4,ALL-OUTS INFLICTED,26
7,U Mumba,5,ALL-OUTS INFLICTED,25
7,Jaipur Pink Panthers,1,TACKLE POINTS,219
7,Puneri Paltan,1,TACKLE POINTS,219
7,U.P. Yoddha,3,TACKLE POINTS,192
7,Patna Pirates,4,TACKLE POINTS,191
7,Bengaluru Bulls,4,TACKLE POINTS,191
7,Puneri Paltan,1,AVERAGE TACKLE POINTS,11.53
7,Jaipur Pink Panthers,2,AVERAGE TACKLE POINTS,10.95
7,U.P. Yoddha,3,AVERAGE TACKLE POINTS,10.67
7,Haryana Steelers,4,AVERAGE TACKLE POINTS,10.22
7,Telugu Titans,5,AVERAGE TACKLE POINTS,10.11
7,Puneri Paltan,1,ALL-OUTS CONCEDED,29
7,Tamil Thalaivas,1,ALL-OUTS CONCEDED,29
7,Bengaluru Bulls,3,ALL-OUTS CONCEDED,24
7,Jaipur Pink Panthers,4,ALL-OUTS CONCEDED,23
7,Patna Pirates,4,ALL-OUTS CONCEDED,23
